full_name,a,e,i,om,w,ma
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
   1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
    1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  1566 Icarus (1949 MA),1.078076432,0.827072914,22.81881892,87.98911327,31.40697081,8.160598893
  1620 Geographos (1951 RA),1.245655278,0.33545381,13.33739043,337.1856335,276.9638903,16.89243004
  1862 Apollo (1932 HA),1.470372413,0.559950159,6.354774105,35.61719647,285.9919159,199.087018
  1981 Midas (1973 EA),1.7763363,0.650335103,39.83111805,356.8629785,267.8249087,35.9911584
  2101 Adonis (1936 CA),1.874240001,0.763956935,1.322075868,349.4986766,43.60366893,52.96872422
  2102 Tantalus (1975 YA),1.290033303,0.29927236,64.00479642,94.36039279,61.53675306,216.5140406
  


